[VAMS][2016-11-09 23:05:25,048] INFO | Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4f0ea988: startup date [Wed Nov 09 23:05:25 CST 2016]; root of context hierarchy | [main] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510)
[VAMS][2016-11-09 23:05:25,121] INFO | Loading XML bean definitions from URL [file:/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-sample/target/classes/redisProxy.xml] | [main] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317)
[VAMS][2016-11-09 23:05:25,470] INFO | Starting ZkClient event thread. | [ZkClient-EventThread-8-127.0.0.1:2181] org.I0Itec.zkclient.ZkEventThread.run(66)
[VAMS][2016-11-09 23:05:26,087] INFO | Client environment:zookeeper.version=3.4.8--1, built on 02/06/2016 03:18 GMT | [main] org.apache.zookeeper.Environment.logEnv(100)
[VAMS][2016-11-09 23:05:26,087] INFO | Client environment:host.name=192.168.0.18 | [main] org.apache.zookeeper.Environment.logEnv(100)
[VAMS][2016-11-09 23:05:26,087] INFO | Client environment:java.version=1.7.0_71 | [main] org.apache.zookeeper.Environment.logEnv(100)
[VAMS][2016-11-09 23:05:26,088] INFO | Client environment:java.vendor=Oracle Corporation | [main] org.apache.zookeeper.Environment.logEnv(100)
[VAMS][2016-11-09 23:05:26,088] INFO | Client environment:java.home=/Library/Java/JavaVirtualMachines/jdk1.7.0_71.jdk/Contents/Home/jre | [main] org.apache.zookeeper.Environment.logEnv(100)
[VAMS][2016-11-09 23:05:26,088] INFO | Client environment:java.class.path=/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-sample/target/classes:/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-spring/target/classes:/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-net/target/classes:/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-core/target/classes:/Users/liubing/.m2/repository/io/netty/netty-all/4.0.26.Final/netty-all-4.0.26.Final.jar:/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-commons/target/classes:/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-pool/target/classes:/Users/liubing/Documents/opensource/nredis-proxy/nredis-proxy-register/target/classes:/Users/liubing/.m2/repository/org/apache/zookeeper/zookeeper/3.4.8/zookeeper-3.4.8.jar:/Users/liubing/.m2/repository/jline/jline/0.9.94/jline-0.9.94.jar:/Users/liubing/.m2/repository/io/netty/netty/3.7.0.Final/netty-3.7.0.Final.jar:/Users/liubing/.m2/repository/com/alibaba/fastjson/1.2.4/fastjson-1.2.4.jar:/Users/liubing/.m2/repository/org/slf4j/slf4j-api/1.5.8/slf4j-api-1.5.8.jar:/Users/liubing/.m2/repository/org/slf4j/slf4j-log4j12/1.5.8/slf4j-log4j12-1.5.8.jar:/Users/liubing/.m2/repository/log4j/log4j/1.2.14/log4j-1.2.14.jar:/Users/liubing/.m2/repository/redis/clients/jedis/2.7.3/jedis-2.7.3.jar:/Users/liubing/.m2/repository/org/apache/commons/commons-pool2/2.3/commons-pool2-2.3.jar:/Users/liubing/.m2/repository/org/springframework/spring-context/4.1.7.RELEASE/spring-context-4.1.7.RELEASE.jar:/Users/liubing/.m2/repository/org/springframework/spring-aop/4.1.7.RELEASE/spring-aop-4.1.7.RELEASE.jar:/Users/liubing/.m2/repository/aopalliance/aopalliance/1.0/aopalliance-1.0.jar:/Users/liubing/.m2/repository/org/springframework/spring-beans/4.1.7.RELEASE/spring-beans-4.1.7.RELEASE.jar:/Users/liubing/.m2/repository/org/springframework/spring-core/4.1.7.RELEASE/spring-core-4.1.7.RELEASE.jar:/Users/liubing/.m2/repository/commons-logging/commons-logging/1.2/commons-logging-1.2.jar:/Users/liubing/.m2/repository/org/springframework/spring-expression/4.1.7.RELEASE/spring-expression-4.1.7.RELEASE.jar | [main] org.apache.zookeeper.Environment.logEnv(100)
[VAMS][2016-11-09 23:05:26,089] INFO | Client environment:java.library.path=/Users/liubing/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:. | [main] org.apache.zookeeper.Environment.logEnv(100)
[VAMS][2016-11-09 23:05:26,089] INFO | Client environment:java.io.tmpdir=/var/folders/g8/z6zm23pj75g9l7lz3cmrmy0h0000gn/T/ | [main] org.apache.zookeeper.Environment.logEnv(100)
